writing,phonetic,count
ก,kɔː˧,2
ก,kɔː˧.kaj˨˩,2
ก.,kɔː˧,1
ก.ค.,kɔː˧.kʰɔː˧,1
ก.ท.ม.,kɔː˧.tʰɔː˧.mɔː˧,1
ก.พ.,kɔː˧.pʰɔː˧,1
ก.ย.,kɔː˧.jɔː˧,1
กก,kok̚˨˩,1
กกต.,kɔː˧.kɔː˧.tɔː˧,1
กกุท,ka˨˩.kut̚˨˩,1
กกุธภัณฑ์,ka˨˩.kut̚˨˩.tʰa˦˥.pʰan˧,1
กกุสันธ,ka˨˩.ku˨˩.san˩˩˦.tʰaʔ˦˥,1
กกุสันธะ,ka˨˩.ku˨˩.san˩˩˦.tʰaʔ˦˥,1
กขค.,kɔː˧.kʰɔː˩˩˦.kʰɔː˧,1
กง,koŋ˧,1
กงกาง,koŋ˧.kaːŋ˧,1
กงการ,koŋ˧.kaːn˧,1
กงล้อ,koŋ˧.lɔː˦˥,1
กงศุล,koŋ˧.sun˩˩˦,1
กงสี,koŋ˧.siː˩˩˦,1
กงสุล,koŋ˧.sun˩˩˦,1
กงเวียน,koŋ˧.wia̯n˧,1
กจ,kɔː˧.t͡ɕɔː˧,1
กฎ,kot̚˨˩,1
กฎข้อบังคับ,kot̚˨˩.kʰɔː˥˩.baŋ˧.kʰap̚˦˥,1
กฎจราจร,kot̚˨˩.t͡ɕa˨˩.raː˧.t͡ɕɔːn˧,1
กฎบัตร,kot̚˨˩.bat̚˨˩,1
กฎมนเทียรบาล,kot̚˨˩.mon˧.tʰia̯n˧.baːn˧,1
กฎหมาย,kot̚˨˩.maːj˩˩˦,1
กฎหมายปกครอง,kot̚˨˩.maːj˩˩˦.pok̚˨˩.kʰrɔːŋ˧,1
กฎหมายมนุษยธรรมระหว่างประเทศ,kot̚˨˩.maːj˩˩˦.ma˦˥.nut̚˦˥.sa˨˩.ja˦˥.tʰam˧.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩,1
กฎหมายมหาชน,kot̚˨˩.maːj˩˩˦.ma˦˥.haː˩˩˦.t͡ɕʰon˧,1
กฎหมายระหว่างประเทศ,kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩,1
กฎหมายระหว่างประเทศแผนกคดีบุคคล,kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩.pʰa˨˩.nɛːk̚˨˩.kʰa˦˥.diː˧.buk̚˨˩.kʰon˧,1
กฎหมายระหว่างประเทศแผนกคดีเมือง,kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩.pʰa˨˩.nɛːk̚˨˩.kʰa˦˥.diː˧.mɯa̯ŋ˧,1
กฎหมายรัฐธรรมนูญ,kot̚˨˩.maːj˩˩˦.rat̚˦˥.tʰa˨˩.tʰam˧.ma˦˥.nuːn˧,1
กฎหมายเหตุ,kot̚˨˩.maːj˩˩˦.heːt̚˨˩,1
กฎหมายเอกชน,kot̚˨˩.maːj˩˩˦.ʔeːk̚˨˩.ka˨˩.t͡ɕʰon˧,1
กฎอัยการศึก,kot̚˨˩.ʔaj˧.ja˦˥.kaːn˧.sɯk̚˨˩,1
กฎเกณฑ์,kot̚˨˩.keːn˧,1
กฏ,kot̚˨˩,1
กฐิน,ka˨˩.tʰin˩˩˦,3
กฐิน,ka˨˩.tʰin˩˩˦.,3
กฐิน,ka˨˩.tʰin˩˩˦.na˦˥.,3
กด,kot̚˨˩,1
กดขี่,kot̚˨˩.kʰiː˨˩,1
กดดัน,kot̚˨˩.dan˧,1
กดราคา,kot̚˨˩.raː˧.kʰaː˧,1
กตัญญุตา,ka˨˩.tan˧.ju˦˥.taː˧,1
กตัญญู,ka˨˩.tan˧.juː˧,1
กติกา,ka˨˩.ti˨˩.kaː˧,1
กติกาสัญญา,ka˨˩.ti˨˩.kaː˧.san˩˩˦.jaː˧,1
กตเวที,ka˨˩.ta˨˩.weː˧.tʰiː˧,1
กถา,ka˨˩.tʰaː˩˩˦,1
กถามุข,ka˨˩.tʰaː˩˩˦.muk̚˦˥,1
กทม.,kɔː˧.tʰɔː˧.mɔː˧,1
กน,kon˧,1
กนก,ka˨˩.nok̚˨˩,1
กบ,kop̚˨˩,2
กบ,kɔː˧.bɔː˧,2
กบฎ,ka˨˩.bot̚˨˩,1
กบฏ,ka˨˩.bot̚˨˩,1
กบด,ka˨˩.bot̚˨˩,1
กบดาน,kop̚˨˩.daːn˧,1
กบนา,kop̚˨˩.naː˧,1
กบาล,ka˨˩.baːn˧,1
กบเลือกนาย,kop̚˨˩.lɯa̯k̚˥˩.naːj˧,1
กบเหลา,kop̚˨˩.law˩˩˦,1
กบเหลาดินสอ,kop̚˨˩.law˩˩˦.din˧.sɔː˩˩˦,1
กบในกะลา,kop̚˨˩.naj˧.ka˨˩.laː˧,1
กบในกะลาครอบ,kop̚˨˩.naj˧.ka˨˩.laː˧.kʰrɔːp̚˥˩,1
กบไสไม้,kop̚˨˩.saj˩˩˦.maːj˦˥,1
กพ,kɔː˧.pʰɔː˧,1
กม,kom˧,1
กมรเตง,ka˨˩.ma˦˥.ra˦˥.teŋ˧,2
กมรเตง,kam˧.ma˦˥.ra˦˥.teŋ˧,2
กมรเตงอัญ,ka˨˩.ma˦˥.ra˦˥.teŋ˧.ʔan˧,2
กมรเตงอัญ,kam˧.ma˦˥.ra˦˥.teŋ˧.ʔan˧,2
กมล,ka˨˩.mon˧,1
กมลา,ka˨˩.ma˦˥.laː˧,1
กร,kɔːn˧,1
กรกฎ,kɔː˧.ra˦˥.kot̚˨˩,1
กรกฎา,ka˨˩.ra˦˥.ka˨˩.daː˧,2
กรกฎา,ka˨˩.rak̚˦˥.ka˨˩.daː˧,2
กรกฎาคม,ka˨˩.ra˦˥.ka˨˩.daː˧.kʰom˧,2
กรกฎาคม,ka˨˩.rak̚˦˥.ka˨˩.daː˧.kʰom˧,2
กรง,kroŋ˧,1
กรงขัง,kroŋ˧.kʰaŋ˩˩˦,1
กรงปินัง,kroŋ˧.pi˨˩.naŋ˧,1
กรงเล็บ,kroŋ˧.lep̚˦˥,1
กรณฑ์,kron˧,1
กรณาฏกะ,ka˨˩.ra˦˥.naː˧.ta˨˩.kaʔ˨˩,1
กรณี,kɔː˧.ra˦˥.niː˧,2
กรณี,ka˨˩.ra˦˥.niː˧,2
